Date,Symbol,Quantity,Price,Value,Cost_Basis
2024-01-14,AAPL,126,137.48,17322.48,17322.48
2024-01-13,AAPL,126,137.48,17322.48,17322.48
2024-01-12,AAPL,126,137.48,17322.48,17322.48
2024-01-11,AAPL,126,137.48,17322.48,17322.48
2024-01-10,AAPL,126,137.48,17322.48,17322.48
2024-01-14,AMZN,160,111.06,17769.60,17769.60
2024-01-13,AMZN,160,111.06,17769.60,17769.60
2024-01-12,AMZN,160,111.06,17769.60,17769.60
2024-01-11,AMZN,160,111.06,17769.60,17769.60
2024-01-10,AMZN,160,111.06,17769.60,17769.60
2024-01-14,NVDA,500,21.20,10600.00,10600.00
2024-01-13,NVDA,500,21.20,10600.00,10600.00
2024-01-12,NVDA,500,21.20,10600.00,10600.00
2024-01-11,NVDA,500,21.20,10600.00,10600.00
2024-01-10,NVDA,500,21.20,10600.00,10600.00
